text,category,urgency
This is unacceptable - the website froze and I lost all my work. I demand an immediate resolution.,TECHNICAL,CRITICAL
"Just wondering, my profile shows the wrong information. Thanks.",ACCOUNT,LOW
"Just wondering, images are not loading on the app. Thanks.",TECHNICAL,LOW
I need this fixed soon - my membership is locked. Please fix this ASAP.,ACCOUNT,HIGH
I need help - my subscription is linked to the wrong user account. Let me know.,ACCOUNT,MEDIUM
"No rush, but how can I change my account email. No hurry.",ACCOUNT,LOW
"Just wondering, how long does a refund usually take.",REFUND,LOW
I need help - please refund my payment. Can someone help?,REFUND,MEDIUM
"No rush, but i need information about your terms of service. Thanks.",OTHER,LOW
This is really frustrating - payment is not going through. This is affecting my work.,PAYMENT,HIGH
I'm having trouble - the mobile app is not compatible with my Android phone. Can someone help?,TECHNICAL,MEDIUM
URGENT - i think my account was hacked.,ACCOUNT,CRITICAL
I'm having trouble - i want a refund for my order. Can someone help?,REFUND,MEDIUM
This is really frustrating - i want to file a complaint. I need a resolution today.,OTHER,HIGH
Could someone assist - images are not loading on the portal.,TECHNICAL,MEDIUM
This is really frustrating - i returned my item but haven't been refunded. Please fix this ASAP.,REFUND,HIGH
Could someone assist - my order has not been delivered. Please advise.,DELIVERY,MEDIUM
Quick question - i'm not sure who to contact about this. Thanks.,OTHER,LOW
"Just wondering, i have a question about your privacy policy. No hurry.",OTHER,LOW
I need to update my payment method. Whenever convenient.,PAYMENT,LOW
I need help - i have an issue with my order. Let me know.,OTHER,MEDIUM
"Just wondering, is there a student discount available. Thanks.",OTHER,LOW
This is unacceptable - i need a refund because the shipment never arrived.,REFUND,CRITICAL
I was charged a restocking fee I wasn't told about.,REFUND,MEDIUM
Could someone assist - i need to update my payment method. Can someone help?,PAYMENT,MEDIUM
Please refund my payment. Let me know.,REFUND,MEDIUM
I need this fixed soon - none of the buttons on the website are responding. Please fix this ASAP.,TECHNICAL,HIGH
Please help immediately - my payment is stuck processing for 2 days. Please fix this ASAP.,PAYMENT,HIGH
Quick question - do you have a loyalty program. Thanks.,OTHER,LOW
This needs to be resolved right now - i keep getting null pointer exception when I try to log in. I want this escalated immediately.,TECHNICAL,CRITICAL
Can you refund my subscription for this month. No hurry.,REFUND,LOW
"Whenever you get a chance, i want to update my username. Thanks.",ACCOUNT,LOW
Please help immediately - i have not received my refund. This is affecting my work.,REFUND,HIGH
Is there a student discount available. Whenever convenient.,OTHER,LOW
The discount code did not apply at checkout.,PAYMENT,MEDIUM
Please help me recover my old dashboard.,ACCOUNT,MEDIUM
This is unacceptable - i was charged $89.00 but my order was cancelled. I demand an immediate resolution.,PAYMENT,CRITICAL
This is really frustrating - the application keeps crashing. Please fix this ASAP.,TECHNICAL,HIGH
"Whenever you get a chance, i need to update my payment method. Thanks.",PAYMENT,LOW
I need this fixed soon - i keep getting 502 when I try to log in. I need a resolution today.,TECHNICAL,HIGH
"Whenever you get a chance, i'm not sure who to contact about this. Whenever convenient.",OTHER,LOW
"No rush, but i have a suggestion for a new feature. Whenever convenient.",OTHER,LOW
This is really frustrating - my payment is stuck processing for two weeks. This is affecting my work.,PAYMENT,HIGH
Do you offer gift cards. Whenever convenient.,OTHER,LOW
I need this fixed soon - none of the buttons on the app are responding.,TECHNICAL,HIGH
URGENT - the app crashes every time I open it on my Safari browser. This is completely unacceptable and needs fixing NOW.,TECHNICAL,CRITICAL
I need help - there's a bug in the latest update. Please advise.,TECHNICAL,MEDIUM
I need help - i want to file a complaint.,OTHER,MEDIUM
I'm having trouble - the website is not compatible with my desktop. Can someone help?,TECHNICAL,MEDIUM
I need help - i cannot access my user account. Please advise.,ACCOUNT,MEDIUM
Please help immediately - my shipment arrived damaged. This is affecting my work.,DELIVERY,HIGH
This is unacceptable - my login was suspended without warning. I want this escalated immediately.,ACCOUNT,CRITICAL
This is really frustrating - i only received part of my package. Please fix this ASAP.,DELIVERY,HIGH
The page is not loading. Please advise.,TECHNICAL,MEDIUM
I need this fixed soon - i keep getting logged out of my user account.,ACCOUNT,HIGH
Quick question - when will I receive my refund.,REFUND,LOW
I cannot log into my login. Please advise.,ACCOUNT,MEDIUM
"No rush, but when will I receive my refund. Thanks.",REFUND,LOW
"No rush, but can I get a refund instead of store credit.",REFUND,LOW
This needs to be resolved right now - my package #30032 shows delivered but I never received it. I want this escalated immediately.,DELIVERY,CRITICAL
"Just wondering, i want to unsubscribe from marketing emails. Thanks.",OTHER,LOW
This is really frustrating - i want a refund for my order. Please fix this ASAP.,REFUND,HIGH
"I need help - i returned the wrong item by mistake, can I still get a refund. Let me know.",REFUND,MEDIUM
I need help - i cannot log into my dashboard. Let me know.,ACCOUNT,MEDIUM
Could someone assist - i need help with something.,OTHER,MEDIUM
"Whenever you get a chance, i need help with something.",OTHER,LOW
I'm having trouble - how do I contact a human representative. Let me know.,OTHER,MEDIUM
I am extremely upset - the app crashes every time I open it on my desktop. I demand an immediate resolution.,TECHNICAL,CRITICAL
I need this fixed soon - my login is locked. Please fix this ASAP.,ACCOUNT,HIGH
My card was declined. Please fix this ASAP.,PAYMENT,HIGH
This is an emergency - i was charged twice for the same order. This is completely unacceptable and needs fixing NOW.,PAYMENT,CRITICAL
I need help - i have an issue with my order.,OTHER,MEDIUM
"No rush, but how do I delete my account. No hurry.",ACCOUNT,LOW
Could someone assist - the platform logged me out randomly. Please advise.,TECHNICAL,MEDIUM
I'm having trouble - i forgot my password for my login. Can someone help?,ACCOUNT,MEDIUM
I need help - i forgot my password for my dashboard. Let me know.,ACCOUNT,MEDIUM
Please help immediately - i cannot access my user account. This is affecting my work.,ACCOUNT,HIGH
"Whenever you get a chance, how do I delete my user account. No hurry.",ACCOUNT,LOW
I need help - i'm being charged a fee I don't recognize. Please advise.,PAYMENT,MEDIUM
There's a bug in the latest update. Please advise.,TECHNICAL,MEDIUM
"Whenever you get a chance, how do I request a refund. No hurry.",REFUND,LOW
Please help immediately - the package is missing items.,DELIVERY,HIGH
I need help with something. Whenever convenient.,OTHER,LOW
Quick question - do you offer gift cards. Thanks.,OTHER,LOW
Could someone assist - can I speak to a manager.,OTHER,MEDIUM
Please help immediately - i keep getting logged out of my user account. I need a resolution today.,ACCOUNT,HIGH
I only received part of my order. Let me know.,DELIVERY,MEDIUM
"Just wondering, can I get a refund instead of store credit.",REFUND,LOW
This is really frustrating - my dashboard was suspended without warning.,ACCOUNT,HIGH
This is urgent - i cannot access my user account. Please fix this ASAP.,ACCOUNT,HIGH
I'm having trouble - how do I contact a human representative. Please advise.,OTHER,MEDIUM
I'm having trouble - my payment is stuck processing for 3 days. Please advise.,PAYMENT,MEDIUM
I need help - i was only refunded part of the amount. Please advise.,REFUND,MEDIUM
"Just wondering, this is regarding a partnership inquiry. No hurry.",OTHER,LOW
I'm having trouble - when will I receive my refund. Let me know.,REFUND,MEDIUM
"Just wondering, do you ship internationally. Whenever convenient.",OTHER,LOW
Quick question - how can I change my account email. No hurry.,ACCOUNT,LOW
Quick question - i'm not sure who to contact about this. No hurry.,OTHER,LOW
